symbol,name,exchange,listing_date
KCE,SPDR(R) S&P CAPITAL MARKETS ETF ,NYSE ARCA,15-11-2005
KCGI-WS,Kensington Capital Acquisition Corp V Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of 11.50,NYSE,04-10-2021
KCSH,Sustainable Ultra Short Duration Index ETF,NYSE ARCA,26-07-2024
KD,Kyndryl Holdings Inc,NYSE,22-10-2021
KDEC,Innovator U.S. Small Cap Power Buffer ETF December,BATS,02-12-2024
KDEF,PLUS Korea Defense Industry Index ETF,NYSE ARCA,05-02-2025
KDLY,Kindly MD Inc,NASDAQ,31-05-2024
KDLYW,Kindly MD Inc - Warrants (15/05/2029),NASDAQ,31-05-2024
KDNY,Chinook Therapeutics Inc,NASDAQ,15-04-2015
KDP,Keurig Dr Pepper Inc,NASDAQ,28-04-2008
KDRN,KINGSBARN TACTICAL BOND ETF ,NYSE ARCA,21-12-2021
KE,Kimball Electronics Inc,NASDAQ,03-11-2014
KEAT,Keating Active ETF,NASDAQ,27-03-2024
KELYA,Kelly Services Inc - Class A,NASDAQ,26-03-1990
KELYB,Kelly Services Inc - Class B,NASDAQ,18-08-1995
KEM,KraneShares Dynamic Emerging Markets Strategy ETF,NYSE ARCA,25-08-2023
KEMQ,KRANESHARES EMERGING MARKETS CONSUMER TECHNOLOGY INDEX ETF ,NYSE ARCA,12-10-2017
KEMX,KRANESHARES MSCI EMERGING MARKETS EX CHINA INDEX ETF ,NYSE ARCA,12-04-2019
KEN,Kenon Holdings Ltd,NYSE,14-01-2015
KEP,Korea Electric Power,NYSE,27-10-1994
KEQU,Kewaunee Scientific Corporation,NASDAQ,25-02-1992
KEUA,KRANESHARES EUROPEAN CARBON ALLOWANCE STRATEGY ETF ,NYSE ARCA,05-10-2021
KEX,Kirby Corp,NYSE,21-08-1991
KEY,Keycorp,NYSE,05-11-1987
KEY-P-I,Keycorp,NYSE,15-12-2016
KEY-P-J,Keycorp,NYSE,24-07-2018
KEY-P-K,Keycorp,NYSE,23-04-2019
KEY-P-L,Keycorp,NYSE,18-08-2022
KEYS,Keysight Technologies Inc,NYSE,20-10-2014
KF,Korea Fund Inc,NYSE,05-11-1987
KFEB,Innovator U.S. Small Cap Power Buffer ETF February,BATS,03-02-2025
KFFB,Kentucky First Federal Bancorp,NASDAQ,03-03-2005
KFIIU,K&F Growth Acquisition Corp II - Units (1 Ord Cls A & 1 Rts),NASDAQ,05-02-2025
KFRC,Kforce Inc,NASDAQ,15-08-1995
KFS,Kingsway Financial Services Inc,NYSE,06-05-1998
KFY,Korn Ferry,NYSE,11-02-1999
KFYP,KraneShares CICC China Leaders 100 Index ETF,NYSE ARCA,23-07-2013
KGC,Kinross Gold Corp,NYSE,19-10-1994
KGEI,Kolibri Global Energy Inc,NASDAQ,27-10-2008
KGRN,KRANESHARES MSCI CHINA CLEAN TECHNOLOGY INDEX ETF ,NYSE ARCA,13-10-2017
KGS,Kodiak Gas Services Inc,NYSE,29-06-2023
KHC,Kraft Heinz Company,NASDAQ,06-07-2015
KHPI,Kensington Hedged Premium Income ETF,BATS,05-09-2024
KHYB,KRANESHARES ASIA PACIFIC HIGH INCOME BOND ETF ,NYSE ARCA,28-06-2018
KIDS,OrthoPediatrics Corp,NASDAQ,12-10-2017
KIE,SPDR(R) S&P INSURANCE ETF ,NYSE ARCA,15-11-2005
KIM,Kimco Realty Corporation,NYSE,22-11-1991
KIM-P-L,Kimco Realty Corporation,NYSE,08-08-2017
KIM-P-M,Kimco Realty Corporation,NYSE,12-12-2017
KIM-P-N,Kimco Realty Corporation,NYSE,02-01-2024
KIND,Nextdoor Holdings Inc - Class A,NYSE,24-03-2021
KINS,Kingstone Cos. Inc,NASDAQ,26-10-1999
KIO,KKR Income Opportunities Fund,NYSE,26-07-2013
KIO-R,KKR Income Opportunities Fund Rights expiring February 16 2023 Rights,NYSE,24-01-2023
KIO-R-W,KKR Income Opportunities Fund Rights expiring February 16 2023 Rights when issued,NYSE,20-01-2023
KIRK,Kirkland`s Inc,NASDAQ,30-07-2002
KITT,Nauticus Robotics Inc,NASDAQ,04-08-2021
KITTW,Nauticus Robotics Inc - Warrants (30/07/2026),NASDAQ,04-08-2021
KJAN,Innovator U.S. Small Cap Power Buffer ETF - January,BATS,02-01-2020
KJUL,Innovator U.S. Small Cap Power Buffer ETF - July,BATS,01-07-2020
KJUN,Innovator U.S. Small Cap Power Buffer ETF - June,BATS,03-06-2024
KKR,KKR & Co. Inc,NYSE,15-07-2010
KKRS,KKR Group Finance Co. IX LLC,NYSE,21-04-2021
KLAC,KLA Corp,NASDAQ,26-03-1990
KLC,KinderCare Learning Companies Inc,NYSE,09-10-2024
KLCD,KFA Large Cap Quality Dividend Index ETF,NYSE ARCA,12-06-2019
KLG,WK Kellogg Company,NYSE,27-09-2023
KLG-W,WK Kellogg Co WhenIssued,NYSE,27-09-2023
KLIC,Kulicke & Soffa Industries Inc,NASDAQ,26-03-1990
KLIP,KraneShares China Internet and Covered Call Strategy ETF,NYSE ARCA,12-01-2023
KLMT,Invesco MSCI Global Climate 500 ETF,NYSE ARCA,26-06-2024
KLTO,Klotho Neurosciences Inc Com,NASDAQ,17-09-2024
KLTOW,Klotho Neurosciences Inc Wt Exp,NASDAQ,17-09-2024
KLTR,Kaltura Inc,NASDAQ,21-07-2021
KLXE,KLX Energy Services Holdings Inc,NASDAQ,17-09-2018
KLXY,KRANESHARES GLOBAL LUXURY INDEX ETF ,NYSE ARCA,07-09-2023
KMB,Kimberly-Clark Corp,NYSE,17-12-1984
KMDA,Kamada Ltd,NASDAQ,31-05-2013
KMED,KraneShares Emerging Markets Healthcare Index ETF,NYSE ARCA,30-08-2018
KMF,Kayne Anderson NextGen Energy & Infrastructure Inc,NYSE,24-11-2010
KMI,Kinder Morgan Inc - Class P,NYSE,11-02-2011
KMID,Virtus KAR Mid-Cap ETF,NYSE ARCA,16-10-2024
KMLM,KFA MOUNT LUCAS MANAGED FUTURES INDEX STRATEGY ETF ,NYSE ARCA,02-12-2020
KMPB,Kemper Corporation,NYSE,14-03-2022
KMPR,Kemper Corporation,NYSE,18-09-1991
KMT,Kennametal Inc,NYSE,05-11-1987
KMX,Carmax Inc,NYSE,04-02-1997
KN,Knowles Corp,NYSE,14-02-2014
KNCT,Invesco Next Gen Connectivity ETF,NYSE ARCA,23-06-2005
KNDI,Kandi Technologies Group Inc,NASDAQ,04-09-2007
KNF,Knife River Corp,NYSE,01-06-2023
KNF-W,Knife Riv Holding Co. WhenIssued,NYSE,25-05-2023
KNG,FT VEST S&P 500 DIVIDEND ARISTOCRATS TARGET INCOME ETF ,BATS,27-03-2018
KNGZ,FIRST TRUST S&P 500 DIVERSIFIED DIVIDEND ARISTOCRATS ETF ,NASDAQ,22-06-2017
KNO,AXS KNOWLEDGE LEADERS ETF ,NYSE ARCA,22-07-2024
KNOP,KNOT Offshore Partners LP,NYSE,10-04-2013
KNOV,Innovator U.S. Small Cap Power Buffer ETF November,BATS,01-11-2024
KNOW,Fundamentals First ETF,BATS,22-02-2024
KNSA,Kiniksa Pharmaceuticals International plc. - Class A,NASDAQ,24-05-2018
KNSL,Kinsale Capital Group Inc,NYSE,28-07-2016
KNTK,Kinetik Holdings Inc - Class A,NYSE,02-05-2017
KNX,Knight-Swift Transportation Holdings Inc - Class A,NYSE,25-10-1994
KO,Coca-Cola Company,NYSE,02-01-1962
KOCG,FIS Knights of Columbus Global Belief ETF,NYSE ARCA,14-07-2021
KOCT,Innovator U.S. Small Cap Power Buffer ETF - October,BATS,01-10-2019
KOD,Kodiak Sciences Inc,NASDAQ,04-10-2018
KODK,Eastman Kodak Company,NYSE,23-09-2013
KOF,Coca-Cola Femsa S.A.B. DE C.V.,NYSE,14-09-1993
KOKU,XTRACKERS MSCI KOKUSAI EQUITY ETF ,NYSE ARCA,08-04-2020
KOLD,ProShares UltraShort Bloomberg Natural Gas -2x Shares,NYSE ARCA,06-10-2011
KOMP,SPDR S&P KENSHO NEW ECONOMIES COMPOSITE ETF ,NYSE ARCA,23-10-2018
KONG,FORMIDABLE FORTRESS ETF ,NYSE ARCA,22-07-2021
KOOL,North Shore Equity Rotation ETF,NYSE ARCA,02-04-2024
KOP,Koppers Holdings Inc,NYSE,01-02-2006
KOPN,Kopin Corp,NASDAQ,15-04-1992
KORE,Kore Group Holdings Inc,NYSE,01-10-2021
KORP,AMERICAN CENTURY DIVERSIFIED CORPORATE BOND ETF ,NYSE ARCA,16-01-2018
KORU,Direxion Daily South Korea Bull 3X Shares,NYSE ARCA,10-04-2013
KOS,Kosmos Energy Ltd,NYSE,11-05-2011
KOSS,Koss Corp,NASDAQ,25-02-1992
KPLT,Katapult Holdings Inc,NASDAQ,30-12-2019
KPLTW,Katapult Holdings Inc - Warrants (09/06/2026),NASDAQ,27-12-2019
KPOP,JAKOTA K-POP AND KOREAN ENTERTAINMENT ETF ,NYSE ARCA,01-09-2022
KPRO,KRANESHARES 100% KWEB DEFINED OUTCOME JANUARY 2027 ETF ,NYSE ARCA,08-02-2024
KPRX,Kiora Pharmaceuticals Inc,NASDAQ,31-07-2015
KPTI,Karyopharm Therapeutics Inc,NASDAQ,06-11-2013
KQQQ,Kurv Technology Titans Select ETF,NASDAQ,23-07-2024
KR,Kroger Company,NYSE,03-01-1977
KRBN,KRANESHARES GLOBAL CARBON STRATEGY ETF ,NYSE ARCA,30-07-2020
KRBP,Kiromic BioPharma Inc,NASDAQ,16-10-2020
KRC,Kilroy Realty Corp,NYSE,30-01-1997
KRE,SPDR(R) S&P REGIONAL BANKING(SM) ETF ,NYSE ARCA,22-06-2006
KREF,KKR Real Estate Finance Trust Inc,NYSE,05-05-2017
KREF-P-A,KKR Real Estate Finance Trust Inc 6.50 Series A Cumulative Redeemable Preferred Stock,NYSE,26-04-2021
KRG,Kite Realty Group Trust,NYSE,11-08-2004
KRKR,36Kr Holdings Inc,NASDAQ,08-11-2019
KRMA,GLOBAL X CONSCIOUS COMPANIES ETF ,NASDAQ,12-07-2016
KRMD,KORU Medical Systems Inc,NASDAQ,20-03-1996
KRMN,Karman Holdings Inc,NYSE,13-02-2025
KRNT,Kornit Digital Ltd,NASDAQ,02-04-2015
KRNY,Kearny Financial Corp,NASDAQ,24-02-2005
KRO,Kronos Worldwide Inc,NYSE,09-12-2003
KRON,Kronos Bio Inc,NASDAQ,09-10-2020
KROP,GLOBAL X AGTECH & FOOD INNOVATION ETF ,NASDAQ,14-07-2021
KROS,Keros Therapeutics Inc,NASDAQ,08-04-2020
KRP,Kimbell Royalty Partners LP,NYSE,03-02-2017
KRRO,Korro Bio Inc,NASDAQ,06-11-2023
KRT,Karat Packaging Inc,NASDAQ,15-04-2021
KRUS,Kura Sushi USA Inc - Class A,NASDAQ,01-08-2019
KRUZ,UNUSUAL WHALES SUBVERSIVE REPUBLICAN TRADING ETF ,BATS,07-02-2023
KRYS,Krystal Biotech Inc,NASDAQ,20-09-2017
KSA,ISHARES MSCI SAUDI ARABIA ETF ,NYSE ARCA,17-09-2015
KSCD,KFA Small Cap Quality Dividend Index ETF,NYSE ARCA,12-06-2019
KSCP,Knightscope Inc - Class A,NASDAQ,27-01-2022
KSEA,KRANESHARES ROCKEFELLER OCEAN ENGAGEMENT ETF ,NYSE ARCA,12-09-2023
KSEP,Innovator U.S. Small Cap Power Buffer ETF - September,BATS,03-09-2024
KSET,KraneShares Global Carbon Offset Strategy ETF,NYSE ARCA,27-04-2022
KSM,DWS Strategic Municipal Income Trust,NYSE,30-06-1989
KSPI,Kaspi.kz JSC,NASDAQ,19-01-2024
KSPY,KraneShares Hedgeye Hedged Equity Index ETF,NYSE ARCA,16-07-2024
KSS,Kohl`s Corp,NYSE,19-05-1992
KSTR,KRANESHARES SSE STAR MARKET 50 INDEX ETF ,NYSE ARCA,27-01-2021
KT,KT Corporation,NYSE,26-05-1999
KTB,Kontoor Brands Inc,NYSE,09-05-2019
KTCC,Key Tronic Corp,NASDAQ,26-03-1990
KTEC,KRANESHARES HANG SENG TECH INDEX ETF ,NYSE ARCA,09-06-2021
KTF,DWS Municipal Income Trust,NYSE,30-06-1989
KTH,Structures Products Cp 8 CorTS Issued by Peco Energy Cap Tr II Preferred Stock,NYSE,12-02-2001
KTN,Structured Products Corp 8205 CorTS 8205 Corporate Backed Trust Securities CorTS,NYSE,04-12-2003
KTOS,Kratos Defense & Security Solutions Inc,NASDAQ,05-11-1999
KTTA,Pasithea Therapeutics Corp,NASDAQ,15-09-2021
KTTAW,Pasithea Therapeutics Corp - Warrants (11/08/2026),NASDAQ,15-09-2021
KUKE,Kuke Music Holding Ltd,NYSE,12-01-2021
KULR,KULR Technology Group Inc,NYSE MKT,18-07-2018
KURA,Kura Oncology Inc,NASDAQ,05-11-2015
KURE,KRANESHARES MSCI ALL CHINA HEALTH CARE INDEX ETF ,NYSE ARCA,01-02-2018
KVAC,Keen Vision Acquisition Corp,NASDAQ,15-09-2023
KVACU,Keen Vision Acquisition Corp - Units (1 Ord & 1 War),NASDAQ,25-07-2023
KVACW,Keen Vision Acquisition Corp - Warrants (15/03/2028),NASDAQ,15-09-2023
KVHI,KVH Industries Inc,NASDAQ,02-04-1996
KVLE,KRANESHARES VALUE LINE(R) DYNAMIC DIVIDEND EQUITY INDEX ETF ,NYSE ARCA,24-11-2020
KVUE,Kenvue Inc,NYSE,04-05-2023
KVUE-W,Kenvue Inc When Issued,NYSE,15-08-2023
KVYO,Klaviyo Inc - Series A,NYSE,20-09-2023
KW,Kennedy-Wilson Holdings Inc,NYSE,03-12-2007
KWE,KWESST Micro Systems Inc,NASDAQ,15-12-2020
KWEB,KRANESHARES CSI CHINA INTERNET ETF ,NYSE ARCA,01-08-2013
KWESW,KWESST Micro Systems Inc - Warrants (29/04/2023),NASDAQ,07-12-2022
KWR,Quaker Houghton,NYSE,26-03-1990
KWT,ISHARES MSCI KUWAIT ETF ,BATS,03-09-2020
KXI,ISHARES GLOBAL CONSUMER STAPLES ETF ,NYSE ARCA,21-09-2006
KXIN,Kaixin Holdings.,NASDAQ,06-11-2017
KYMR,Kymera Therapeutics Inc,NASDAQ,21-08-2020
KYN,Kayne Anderson Energy Infrastructure Fund Inc,NYSE,28-09-2004
KYTX,Kyverna Therapeutics Inc,NASDAQ,08-02-2024
KZIA,Kazia Therapeutics Ltd,NASDAQ,24-11-2017
KZR,Kezar Life Sciences Inc,NASDAQ,21-06-2018
L,Loews Corp,NYSE,10-07-1987
LAAC-W,Lithium Americas Argentina Corp WhenIssued,NYSE,02-10-2023
LAB,Standard BioTools Inc,NASDAQ,29-07-2003
LABD,DIREXION DAILY S&P BIOTECH BEAR 3X SHARES DIREXION DAILY S&AMP;P BIOTECH BEAR 3X SHARES,NYSE ARCA,28-05-2015
LABU,DIREXION DAILY S&P BIOTECH BULL 3X SHARES DIREXION DAILY S&AMP;P BIOTECH BULL 3X SHARES,NYSE ARCA,28-05-2015
LAC,Lithium Americas Corp (NewCo),NYSE,02-10-2023
LAC-W,Lithium Americas Corp When Issued,NYSE,02-10-2023
LAD,Lithia Motors Inc - Class A,NYSE,18-12-1996
LADR,Ladder Capital Corp - Class A,NYSE,06-02-2014
LAES,SEALSQ Corp,NASDAQ,24-05-2023
LAESV,SEALSQ Corp,NASDAQ,22-05-2023
LAKE,Lakeland Industries Inc,NASDAQ,26-03-1990
LALT,FIRST TRUST MULTI-STRATEGY ALTERNATIVE ETF ,NYSE ARCA,01-02-2023
LAMR,Lamar Advertising Co - Class A,NASDAQ,02-08-1996
LANC,Lancaster Colony Corp,NASDAQ,26-03-1990
LAND,Gladstone Land Corp,NASDAQ,29-01-2013
LANDM,Gladstone Land Corp,NASDAQ,13-01-2021
LANDO,Gladstone Land Corp,NASDAQ,19-10-2020
LANDP,Gladstone Land Corp,NASDAQ,08-06-2023
LANV,Lanvin Group Holdings Ltd - Class A,NYSE,15-03-2021
LANV-WS,Lanvin Group Holdings Ltd - Warrants (19/01/2026),NYSE,15-03-2021
LAPR,Innovator Premium Income 15 Buffer ETF - April,BATS,01-04-2024
LAR,Lithium Argentina AG,NYSE,04-10-2023
LARK,Landmark Bancorp Inc,NASDAQ,28-03-1994
LASE,Laser Photonics Corp,NASDAQ,30-09-2022
LASR,nLIGHT Inc,NASDAQ,26-04-2018
LAUR,Laureate Education Inc,NASDAQ,01-02-2017
LAW,CS Disco Inc,NYSE,21-07-2021
LAZ,Lazard Ltd - Class A,NYSE,05-05-2005
LAZR,Luminar Technologies Inc - Class A,NASDAQ,25-03-2019
LB,Landbridge Company LLC. - Class A,NYSE,28-06-2024
LBAY,LEATHERBACK LONG/SHORT ALTERNATIVE YIELD ETF ,NYSE ARCA,17-11-2020
LBBB,Lakeshore Acquisition II Corp,NASDAQ,14-04-2022
LBBBR,Lakeshore Acquisition II Corp,NASDAQ,14-04-2022
LBBBU,Lakeshore Acquisition II Corp - Units (1 Ord 1/2 War & 1 Right),NASDAQ,09-03-2022
LBBBW,Lakeshore Acquisition II Corp - Warrants (18/11/2026),NASDAQ,14-04-2022
LBGJ,Li Bang International Corp Inc,NASDAQ,23-10-2024
LBO,WHITEWOLF PUBLICLY LISTED PRIVATE EQUITY ETF ,BATS,30-11-2023
LBPH,Longboard Pharmaceuticals Inc,NASDAQ,12-03-2021
LBRDA,Liberty Broadband Corp - Series A,NASDAQ,04-11-2014
LBRDK,Liberty Broadband Corp - Series C,NASDAQ,04-11-2014
LBRDP,Liberty Broadband Corp,NASDAQ,22-12-2020
LBRT,Liberty Energy Inc - Class A,NYSE,11-01-2018
LBTYA,Liberty Global plc - Class A,NASDAQ,03-06-2004
LBTYB,Liberty Global plc - Class B,NASDAQ,09-06-2004
LBTYK,Liberty Global plc - Class C,NASDAQ,08-09-2005
LBYAV,Liberty Global Ltd,NASDAQ,04-11-2024
LC,LendingClub Corp,NYSE,11-12-2014
LCAA,L Catterton Asia Acquisition Corp - Class A,NASDAQ,06-05-2021
LCAAU,L Catterton Asia Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NASDAQ,11-03-2021
LCAAW,L Catterton Asia Acquisition Corp - Warrants (08/03/2026),NASDAQ,11-05-2021
LCDS,JPMorgan Fundamental Data Science Large Core ETF,NASDAQ,08-08-2024
LCF,TOUCHSTONE US LARGE CAP FOCUSED ETF ,BATS,29-07-2022
LCFY,Locafy Ltd,NASDAQ,25-03-2022
LCFYW,Locafy Ltd - Warrants (23/03/2027),NASDAQ,25-03-2022
LCG,STERLING CAPITAL FOCUS EQUITY ETF ,NYSE ARCA,27-08-2020
LCID,Lucid Group Inc,NASDAQ,18-09-2020
LCII,LCI Industries,NYSE,03-05-1989
LCLG,LOGAN CAPITAL BROAD INNOVATIVE GROWTH ETF ,NYSE ARCA,08-08-2022
LCNB,LCNB Corp,NASDAQ,26-10-1999
LCR,LEUTHOLD CORE ETF ,NYSE ARCA,06-01-2020
LCTD,BlackRock World ex U.S. Carbon Transition Readiness ETF,NYSE ARCA,08-04-2021
LCTU,BlackRock U.S. Carbon Transition Readiness ETF,NYSE ARCA,08-04-2021
LCTX,Lineage Cell Therapeutics Inc,NYSE MKT,06-03-1992
LCUT,Lifetime Brands Inc,NASDAQ,05-06-1991
LCW-U,Learn CW Investment Corporation Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant,NYSE,08-10-2021
LD,Barclays Bank PLC,NYSE ARCA,25-06-2008
LDEM,ISHARES ESG MSCI EM LEADERS ETF ,NASDAQ,12-02-2020
LDER,Stone Ridge 2040 Term Income ETF,BATS,06-01-2025
LDI,LoanDepot Inc - Class A,NYSE,11-02-2021
LDOS,Leidos Holdings Inc,NYSE,13-10-2006
LDP,Cohen & Steers Ltd Duration Preferred and Income Fund Inc,NYSE,30-07-2012
LDRC,iShares iBonds 1-5 Year Corporate Ladder ETF,NYSE ARCA,08-11-2024
LDRH,ISHARES IBONDS 1-5 YEAR HIGH YIELD AND INCOME LADDER ETF ,NASDAQ,08-10-2013
LDRI,ISHARES IBONDS 1-5 YEAR TIPS LADDER ETF ,NASDAQ,10-09-2014
LDRR,Stone Ridge 2045 Term Income ETF,BATS,06-01-2025
LDSF,FIRST TRUST LOW DURATION STRATEGIC FOCUS ETF ,NASDAQ,07-01-2019
LDTC,LeddarTech Holdings Inc,NASDAQ,21-12-2023
LDTCW,LeddarTech Holdings Inc - Warrants (01/01/2025),NASDAQ,01-03-2021
LDUR,PIMCO ENHANCED LOW DURATION ACTIVE EXCHANGE-TRADED FUND ,NYSE ARCA,23-01-2014
LDWY,Lendway Inc,NASDAQ,18-03-1993
LE,Lands` End Inc,NASDAQ,20-03-2014
LEA,Lear Corp,NYSE,09-11-2009
LEAD,SIREN DIVCON LEADERS DIVIDEND ETF ,BATS,06-01-2016
LECO,Lincoln Electric Holdings Inc,NASDAQ,13-06-1995
LEDS,Semileds Corp,NASDAQ,09-12-2010
LEE,Lee Enterprises Inc,NASDAQ,05-11-1987
LEG,Leggett & Platt Inc,NYSE,05-11-1987
LEGH,Legacy Housing Corp,NASDAQ,14-12-2018
LEGN,Legend Biotech Corp,NASDAQ,05-06-2020
LEGR,FIRST TRUST INDXX INNOVATIVE TRANSACTION & PROCESS ETF ,NASDAQ,25-01-2018
LEGT,Legato Merger Corp III,NYSE MKT,28-03-2024
LEGT-U,Legato Merger Corp III - Units (1 Ord & 1/2 War),NYSE MKT,06-02-2024
LEGT-WS,Legato Merger Corp III - Warrants (01/01/9999),NYSE MKT,28-03-2024
LEMB,ISHARES J.P. MORGAN EM LOCAL CURRENCY BOND ETF ,NYSE ARCA,20-10-2011
LEN,Lennar Corp - Class A,NYSE,05-11-1987
LEN-B,Lennar Corp - Class B,NYSE,23-04-2003
LENZ,Graphite Bio Inc,NASDAQ,25-06-2021
LEO,BNY Mellon Strategic Municipals Inc,NYSE,02-01-2001
LESL,Leslies Inc,NASDAQ,29-10-2020
LEU,Centrus Energy Corp - Class A,NYSE MKT,23-07-1998
LEVI,Levi Strauss & Co. Cls A,NYSE,21-03-2019
LEXI,ALEXIS PRACTICAL TACTICAL ETF ,NYSE ARCA,01-07-2021
LEXX,Lexaria Bioscience Corp,NASDAQ,12-05-2016
LEXXW,Lexaria Bioscience Corp - Warrants (11/01/2026),NASDAQ,12-01-2021
LFACW,LF Capital Acquisition Corp. II,NASDAQ,10-01-2022
LFAE,Stone Ridge 2048 Longevity Income ETF,BATS,16-09-2024
LFAF,Stone Ridge 2049 Longevity Income ETF,BATS,16-09-2024
LFAI,Stone Ridge 2050 Longevity Income ETF,BATS,16-09-2024
LFAJ,Stone Ridge 2051 Longevity Income ETF,BATS,16-09-2024
LFAK,Stone Ridge 2052 Longevity Income ETF,BATS,16-09-2024
LFAL,Stone Ridge 2053 Longevity Income ETF,BATS,16-09-2024
LFAN,Stone Ridge 2054 Longevity Income ETF,BATS,09-09-2024
LFAO,Stone Ridge 2055 Longevity Income ETF,BATS,16-09-2024
LFAQ,Stone Ridge 2056 Longevity Income ETF,BATS,16-09-2024
LFAR,Stone Ridge 2057 Longevity Income ETF,BATS,16-09-2024
LFAU,Stone Ridge 2058 Longevity Income ETF,BATS,16-09-2024
LFAV,Stone Ridge 2059 Longevity Income ETF,BATS,09-09-2024
LFAW,Stone Ridge 2060 Longevity Income ETF,BATS,16-09-2024
LFAX,Stone Ridge 2061 Longevity Income ETF,BATS,16-09-2024
LFAZ,Stone Ridge 2062 Longevity Income ETF,BATS,16-09-2024
LFBB,Stone Ridge 2063 Longevity Income ETF,BATS,16-09-2024
LFBD,Stone Ridge 2064 Longevity Income ETF,BATS,06-01-2025
LFBE,Stone Ridge 2065 Longevity Income ETF,BATS,06-01-2025
LFCR,Lifecore Biomedical Inc,NASDAQ,15-02-1996
LFDR,Stone Ridge Durable Income ETF,BATS,16-12-2024
LFEQ,VANECK LONG/FLAT TREND ETF ,NYSE ARCA,05-10-2017
LFMD,LifeMD Inc,NASDAQ,02-01-2001
LFMDP,LifeMD Inc,NASDAQ,05-10-2021
LFST,LifeStance Health Group Inc,NASDAQ,10-06-2021
LFT,Lument Finance Trust Inc,NYSE,22-03-2013
LFT-P-A,Lument Finance Trust Inc,NYSE,06-05-2021
LFUS,Littelfuse Inc,NASDAQ,23-09-1992
LFVN,Lifevantage Corporation,NASDAQ,05-10-2004
LFWD,Rewalk Robotics Ltd,NASDAQ,12-09-2014
LGACU,Lazard Growth Acquisition Corp I - Units (1 Ord Class A & 1/5 War),NASDAQ,10-02-2021
LGCB,Linkage Global Inc,NASDAQ,19-12-2023
LGCF,Themes US Cash Flow Champions ETF,NASDAQ,13-12-2023
LGCL,Lucas GC Ltd,NASDAQ,05-03-2024
LGCY,Legacy Education Inc,NYSE MKT,26-09-2024
LGF-A,Lions Gate Entertainment Corp - Class A,NYSE,09-12-2016
LGF-B,Lions Gate Entertainment Corp - Class B,NYSE,09-12-2016
LGH,HCM DEFENDER 500 INDEX ETF ,NYSE ARCA,10-10-2019
LGHL,Lion Group Holding Ltd,NASDAQ,16-06-2020
LGHLW,Lion Group Holding Ltd - Warrants (17/06/2025),NASDAQ,17-06-2020
LGHT,Langar Global HealthTech ETF,NYSE ARCA,10-01-2024
LGI,Lazard Global Total Return and Income Fund Inc,NYSE,06-05-2004
LGIH,LGI Homes Inc,NASDAQ,07-11-2013
LGL,LGL Group Inc,NYSE MKT,17-03-1992
LGL-WS,LGL Group Inc - Warrants (16/11/2025),NYSE MKT,18-11-2020
LGLV,SPDR SSGA US LARGE CAP LOW VOLATILITY INDEX ETF ,NYSE ARCA,21-02-2013
LGMK,LogicMark Inc,NASDAQ,19-08-2013
LGND,Ligand Pharmaceuticals Inc - Class B,NASDAQ,18-11-1992
LGO,Largo Inc,NASDAQ,13-07-2007
LGOV,FIRST TRUST LONG DURATION OPPORTUNITIES ETF ,NYSE ARCA,23-01-2019
LGRO,Level Four Large Cap Growth Active ETF,NASDAQ,23-08-2023
LGTY,Logility Supply Chain Solutions Inc,NASDAQ,07-09-1984
LGV-WS,Longview Acquisition Corp II Redeemable Warrants each whole Warrant exercisable for one share of Class A Common Stock each at an exercise price of 11.50 per s,NYSE,10-05-2021
LGVN,Longeveron Inc - Class A,NASDAQ,12-02-2021
LGVNV,Longeveron Inc Subscription Right When Issued,NASDAQ,17-08-2023
LH,Laboratory Corp Of America Holdings,NYSE,29-03-1990
LH-W,Laboratory Corporation of America Holdings WhenIssued,NYSE,21-06-2023
LHC,Leo Holdings Corp II - Class A,NYSE,16-04-2018
LHC-U,Leo Holdings Corp II - Units (1 Ord Share Class A & 1/4 War),NYSE,08-01-2021
LHX,L3Harris Technologies Inc,NYSE,31-12-1981
LI,Li Auto Inc,NASDAQ,30-07-2020
LIAB,Stone Ridge 2048 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAC,Stone Ridge 2049 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAE,Stone Ridge 2050 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAF,Stone Ridge 2051 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAG,Stone Ridge 2052 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAJ,Stone Ridge 2053 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAK,Stone Ridge 2054 Inflation-Protected Longevity Income ETF,BATS,09-09-2024
LIAM,Stone Ridge 2055 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAO,Stone Ridge 2056 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAP,Stone Ridge 2057 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAQ,Stone Ridge 2058 Inflation-Protected Longevity Income ETF,BATS,16-09-2024
LIAT,Stone Ridge 2059 Inflation-Protected Longevity Income ETF,BATS,09-09-2024
